Ville;Corps;Activité;Produit;Variété;Année;Indice
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2016;114.4
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2017;115.0
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2018;115.3
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2019;115.6
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2020;116.3
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2021;124.8
RABAT;Corps de métier Gros œuvre;Activité Acier;Acier doux;Acier doux;2022;135.8
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2005;100.0
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2006;104.8
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2007;109.0
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2008;104.5
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2009;111.4
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2010;121.1
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2011;106.8
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2012;108.8
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2013;110.7
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2014;102.0
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2015;102.0
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2016;108.0
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2017;108.3
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2018;109.0
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2019;109.0
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2020;103.1
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2021;115.3
RABAT;Gros œuvre;Acier;Acier doux;D 6 (kg);2022;128.9
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2005;100.0
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2006;100.5
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2007;104.5
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2008;105.3
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2009;109.2
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2010;111.4
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2011;105.3
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2012;106.8
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2013;107.6
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2014;100.8
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2015;101.4
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2016;106.3
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2017;106.4
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2018;106.5
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2019;106.9
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2020;107.3
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2021;117.4
RABAT;Gros œuvre;Acier;Acier haute adhérence;Acier haute adhérence;2022;127.4
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2005;200.0
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2006;201.5
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2007;209.1
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2008;207.9
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2009;214.2
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2010;217.7
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2011;207.6
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2012;209.9
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2013;211.2
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2014;199.1
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2015;201.2
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2016;211.0
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2017;211.2
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2018;211.4
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2019;212.2
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2020;213.6
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2021;234.0
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 12 à 14 (kg);2022;253.2
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2005;200.0
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2006;201.5
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2007;209.1
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2008;207.9
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2009;214.2
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2010;217.7
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2011;207.6
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2012;209.9
RABAT;Gros œuvre;Acier;Acier haute adhérence;D 8 à 10 (kg);2013;211.2
