Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Aoussred;Maison sur lot économique;GT;2008;1744;105
Aoussred;Maison sur lot économique;GT;2009;1809;109
Aoussred;Maison sur lot économique;GT;2010;1824;110
Aoussred;Maison sur lot économique;GT;2011;1838;111
Aoussred;Maison sur lot économique;GT;2012;1852;112
Aoussred;Maison sur lot économique;GT;2013;1866;113
Aoussred;Maison sur lot économique;GT;2014;1872;113
Aoussred;Maison sur lot économique;GT;2015;1738;105
Aoussred;Maison sur lot économique;GT;2016;1727;104
Aoussred;Maison sur lot économique;GT;2017;1850;112
Aoussred;Maison sur lot économique;GT;2018;1930;117
Aoussred;Maison sur lot économique;GT;2019;1960;118
Aoussred;Maison sur lot économique;GT;2020;1550;94
Aoussred;Maison sur lot économique;GT;2021;2235;135
Aoussred;Maison sur lot économique;GT;2022;2869;173
Aoussred;Maison sur lot économique;MLE;2001;957;100
Aoussred;Maison sur lot économique;MLE;2002;985;103
Aoussred;Maison sur lot économique;MLE;2003;1001;105
Aoussred;Maison sur lot économique;MLE;2004;1042;109
Aoussred;Maison sur lot économique;MLE;2005;1064;112
Aoussred;Maison sur lot économique;MLE;2006;1142;120
Aoussred;Maison sur lot économique;MLE;2007;1193;125
Aoussred;Maison sur lot économique;MLE;2008;1240;130
Aoussred;Maison sur lot économique;MLE;2009;1297;136
Aoussred;Maison sur lot économique;MLE;2010;1298;136
Aoussred;Maison sur lot économique;MLE;2011;1300;137
Aoussred;Maison sur lot économique;MLE;2012;1301;137
Aoussred;Maison sur lot économique;MLE;2013;1302;137
Aoussred;Maison sur lot économique;MLE;2014;1307;137
Aoussred;Maison sur lot économique;MLE;2015;1263;125
Aoussred;Maison sur lot économique;MLE;2016;1255;124
Aoussred;Maison sur lot économique;MLE;2017;1328;131
Aoussred;Maison sur lot économique;MLE;2018;1395;138
Aoussred;Maison sur lot économique;MLE;2019;1414;140
Aoussred;Maison sur lot économique;MLE;2020;1279;121
Aoussred;Maison sur lot économique;MLE;2021;1909;184
Aoussred;Maison sur lot économique;MLE;2022;2357;226
Aoussred;Maison sur lot économique;MT;2001;926;100
Aoussred;Maison sur lot économique;MT;2002;940;101
Aoussred;Maison sur lot économique;MT;2003;973;105
Aoussred;Maison sur lot économique;MT;2004;1016;110
Aoussred;Maison sur lot économique;MT;2005;1085;117
Aoussred;Maison sur lot économique;MT;2006;1186;128
Aoussred;Maison sur lot économique;MT;2007;1267;137
Aoussred;Maison sur lot économique;MT;2008;1315;142
Aoussred;Maison sur lot économique;MT;2009;1372;148
Aoussred;Maison sur lot économique;MT;2010;1376;149
Aoussred;Maison sur lot économique;MT;2011;1379;149
Aoussred;Maison sur lot économique;MT;2012;1383;149
Aoussred;Maison sur lot économique;MT;2013;1386;150
Aoussred;Maison sur lot économique;MT;2014;1389;150
Aoussred;Maison sur lot économique;MT;2015;1304;141
Aoussred;Maison sur lot économique;MT;2016;1296;140
Aoussred;Maison sur lot économique;MT;2017;1370;148
Aoussred;Maison sur lot économique;MT;2018;1395;151
Aoussred;Maison sur lot économique;MT;2019;1387;150
Aoussred;Maison sur lot économique;MT;2020;1277;138
Aoussred;Maison sur lot économique;MT;2021;1950;211
Aoussred;Maison sur lot économique;MT;2022;2523;272
Aoussred;Maison sur lot économique;PT;2001;946;100
Aoussred;Maison sur lot économique;PT;2002;998;106
Aoussred;Maison sur lot économique;PT;2003;992;105
Aoussred;Maison sur lot économique;PT;2004;1042;110
Aoussred;Maison sur lot économique;PT;2005;980;104
Aoussred;Maison sur lot économique;PT;2006;1024;108
Aoussred;Maison sur lot économique;PT;2007;1014;107
Aoussred;Maison sur lot économique;PT;2008;1060;112
Aoussred;Maison sur lot économique;PT;2009;1115;118
Aoussred;Maison sur lot économique;PT;2010;1111;117
Aoussred;Maison sur lot économique;PT;2011;1108;117
Aoussred;Maison sur lot économique;PT;2012;1103;117
Aoussred;Maison sur lot économique;PT;2013;1100;116
Aoussred;Maison sur lot économique;PT;2014;1107;117
