Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Khémisset;Appartement économique;GT;2017;1950;202
Khémisset;Appartement économique;GT;2018;1998;207
Khémisset;Appartement économique;GT;2019;2040;211
Khémisset;Appartement économique;GT;2020;1985;206
Khémisset;Appartement économique;GT;2021;2030;210
Khémisset;Appartement économique;GT;2022;2100;218
Khémisset;Appartement économique;MT;2001;761;100
Khémisset;Appartement économique;MT;2002;795;104
Khémisset;Appartement économique;MT;2003;824;108
Khémisset;Appartement économique;MT;2004;881;116
Khémisset;Appartement économique;MT;2005;935;123
Khémisset;Appartement économique;MT;2006;1022;134
Khémisset;Appartement économique;MT;2007;1053;138
Khémisset;Appartement économique;MT;2008;1095;144
Khémisset;Appartement économique;MT;2009;1157;152
Khémisset;Appartement économique;MT;2010;1204;158
Khémisset;Appartement économique;MT;2011;1230;162
Khémisset;Appartement économique;MT;2012;1315;173
Khémisset;Appartement économique;MT;2013;1357;178
Khémisset;Appartement économique;MT;2014;1398;184
Khémisset;Appartement économique;MT;2015;1455;191
Khémisset;Appartement économique;MT;2016;1475;194
Khémisset;Appartement économique;MT;2017;1450;190
Khémisset;Appartement économique;MT;2018;1550;204
Khémisset;Appartement économique;MT;2019;1570;206
Khémisset;Appartement économique;MT;2020;1503;197
Khémisset;Appartement économique;MT;2021;1533;201
Khémisset;Appartement économique;MT;2022;1609;211
Khémisset;Appartement économique;PT;2001;527;100
Khémisset;Appartement économique;PT;2002;581;110
Khémisset;Appartement économique;PT;2003;599;114
Khémisset;Appartement économique;PT;2004;641;122
Khémisset;Appartement économique;PT;2005;671;127
Khémisset;Appartement économique;PT;2006;695;132
Khémisset;Appartement économique;PT;2007;751;143
Khémisset;Appartement économique;PT;2008;810;154
Khémisset;Appartement économique;PT;2009;862;164
Khémisset;Appartement économique;PT;2010;886;168
Khémisset;Appartement économique;PT;2011;905;172
Khémisset;Appartement économique;PT;2012;980;186
Khémisset;Appartement économique;PT;2013;1066;202
Khémisset;Appartement économique;PT;2014;1152;219
Khémisset;Appartement économique;PT;2015;1234;234
Khémisset;Appartement économique;PT;2016;1290;245
Khémisset;Appartement économique;PT;2017;1300;247
Khémisset;Appartement économique;PT;2018;1365;259
Khémisset;Appartement économique;PT;2019;1400;266
Khémisset;Appartement économique;PT;2020;1300;247
Khémisset;Appartement économique;PT;2021;1330;253
Khémisset;Appartement économique;PT;2022;1397;265
Khémisset;Maison sur lot économique;GT;2001;857;100
Khémisset;Maison sur lot économique;GT;2002;887;104
Khémisset;Maison sur lot économique;GT;2003;912;106
Khémisset;Maison sur lot économique;GT;2004;940;110
Khémisset;Maison sur lot économique;GT;2005;968;113
Khémisset;Maison sur lot économique;GT;2006;996;116
Khémisset;Maison sur lot économique;GT;2007;1025;120
Khémisset;Maison sur lot économique;GT;2008;1053;123
Khémisset;Maison sur lot économique;GT;2009;1083;126
Khémisset;Maison sur lot économique;GT;2010;1112;130
Khémisset;Maison sur lot économique;GT;2011;1145;134
Khémisset;Maison sur lot économique;GT;2012;1220;142
Khémisset;Maison sur lot économique;GT;2013;1331;155
Khémisset;Maison sur lot économique;GT;2014;1442;168
Khémisset;Maison sur lot économique;GT;2015;1542;180
Khémisset;Maison sur lot économique;GT;2016;1580;184
Khémisset;Maison sur lot économique;GT;2017;1650;193
Khémisset;Maison sur lot économique;GT;2018;1700;198
Khémisset;Maison sur lot économique;GT;2019;1750;204
Khémisset;Maison sur lot économique;GT;2020;1712;200
Khémisset;Maison sur lot économique;GT;2021;1747;204
Khémisset;Maison sur lot économique;GT;2022;1784;208
Khémisset;Maison sur lot économique;MLE;2001;653;100
Khémisset;Maison sur lot économique;MLE;2002;670;103
Khémisset;Maison sur lot économique;MLE;2003;691;106
Khémisset;Maison sur lot économique;MLE;2004;730;112
Khémisset;Maison sur lot économique;MLE;2005;765;118
Khémisset;Maison sur lot économique;MLE;2006;814;125
Khémisset;Maison sur lot économique;MLE;2007;842;130
Khémisset;Maison sur lot économique;MLE;2008;876;136
Khémisset;Maison sur lot économique;MLE;2009;916;142
Khémisset;Maison sur lot économique;MLE;2010;945;147
Khémisset;Maison sur lot économique;MLE;2011;982;153
Khémisset;Maison sur lot économique;MLE;2012;1068;166
Khémisset;Maison sur lot économique;MLE;2013;1143;178
Khémisset;Maison sur lot économique;MLE;2014;1218;189
Khémisset;Maison sur lot économique;MLE;2015;1289;202
Khémisset;Maison sur lot économique;MLE;2016;1338;210
Khémisset;Maison sur lot économique;MLE;2017;1373;216
Khémisset;Maison sur lot économique;MLE;2018;1439;226
Khémisset;Maison sur lot économique;MLE;2019;1496;235
Khémisset;Maison sur lot économique;MLE;2020;1441;227
Khémisset;Maison sur lot économique;MLE;2021;1478;232
Khémisset;Maison sur lot économique;MLE;2022;1544;243
Khémisset;Maison sur lot économique;MT;2001;675;100
Khémisset;Maison sur lot économique;MT;2002;678;100
Khémisset;Maison sur lot économique;MT;2003;701;104
Khémisset;Maison sur lot économique;MT;2004;744;110
Khémisset;Maison sur lot économique;MT;2005;785;116
Khémisset;Maison sur lot économique;MT;2006;851;126
Khémisset;Maison sur lot économique;MT;2007;869;129
Khémisset;Maison sur lot économique;MT;2008;898;133
Khémisset;Maison sur lot économique;MT;2009;941;139
Khémisset;Maison sur lot économique;MT;2010;974;144
Khémisset;Maison sur lot économique;MT;2011;1015;150
Khémisset;Maison sur lot économique;MT;2012;1110;164
Khémisset;Maison sur lot économique;MT;2013;1180;175
Khémisset;Maison sur lot économique;MT;2014;1249;185
Khémisset;Maison sur lot économique;MT;2015;1326;196
Khémisset;Maison sur lot économique;MT;2016;1375;204
Khémisset;Maison sur lot économique;MT;2017;1399;207
Khémisset;Maison sur lot économique;MT;2018;1480;219
Khémisset;Maison sur lot économique;MT;2019;1550;230
Khémisset;Maison sur lot économique;MT;2020;1478;219
Khémisset;Maison sur lot économique;MT;2021;1517;225
Khémisset;Maison sur lot économique;MT;2022;1588;235
Khémisset;Maison sur lot économique;PT;2001;464;100
Khémisset;Maison sur lot économique;PT;2002;508;109
Khémisset;Maison sur lot économique;PT;2003;523;113
Khémisset;Maison sur lot économique;PT;2004;556;120
Khémisset;Maison sur lot économique;PT;2005;581;125
Khémisset;Maison sur lot économique;PT;2006;600;129
Khémisset;Maison sur lot économique;PT;2007;655;141
Khémisset;Maison sur lot économique;PT;2008;702;151
Khémisset;Maison sur lot économique;PT;2009;745;160
Khémisset;Maison sur lot économique;PT;2010;763;164
Khémisset;Maison sur lot économique;PT;2011;792;171
Khémisset;Maison sur lot économique;PT;2012;860;185
Khémisset;Maison sur lot économique;PT;2013;926;199
Khémisset;Maison sur lot économique;PT;2014;992;214
Khémisset;Maison sur lot économique;PT;2015;1059;228
Khémisset;Maison sur lot économique;PT;2016;1114;240
Khémisset;Maison sur lot économique;PT;2017;1150;248
Khémisset;Maison sur lot économique;PT;2018;1195;257
Khémisset;Maison sur lot économique;PT;2019;1230;265
Khémisset;Maison sur lot économique;PT;2020;1199;258
Khémisset;Maison sur lot économique;PT;2021;1233;265
Khémisset;Maison sur lot économique;PT;2022;1307;281
Khémisset;Total ville;MLE;2001;840;100
Khémisset;Total ville;MLE;2002;874;104
Khémisset;Total ville;MLE;2003;906;108
Khémisset;Total ville;MLE;2004;958;114
Khémisset;Total ville;MLE;2005;1003;120
Khémisset;Total ville;MLE;2006;1062;128
Khémisset;Total ville;MLE;2007;1100;133
Khémisset;Total ville;MLE;2008;1146;139
Khémisset;Total ville;MLE;2009;1198;146
Khémisset;Total ville;MLE;2010;1235;151
Khémisset;Total ville;MLE;2011;1270;156
Khémisset;Total ville;MLE;2012;1361;168
Khémisset;Total ville;MLE;2013;1434;178
Khémisset;Total ville;MLE;2014;1507;188
Khémisset;Total ville;MLE;2015;1464;200
Khémisset;Total ville;MLE;2016;1508;207
Khémisset;Total ville;MLE;2017;1536;212
Khémisset;Total ville;MLE;2018;1603;222
Khémisset;Total ville;MLE;2019;1655;229
Khémisset;Total ville;MLE;2020;1593;221
Khémisset;Total ville;MLE;2021;1630;226
Khémisset;Total ville;MLE;2022;1698;237
Khémisset;Villa;GT;2001;5967;100
Khémisset;Villa;GT;2002;6203;104
Khémisset;Villa;GT;2003;6578;110
Khémisset;Villa;GT;2004;6922;116
Khémisset;Villa;GT;2005;7140;120
