Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Région;Appartement standing;APS;2011;3787;173
Région;Appartement standing;APS;2012;3699;170
Région;Appartement standing;APS;2013;3711;171
Région;Appartement standing;APS;2014;3802;176
Région;Appartement standing;APS;2015;3782;180
Région;Appartement standing;APS;2016;3841;183
Région;Appartement standing;APS;2017;3868;185
Région;Appartement standing;APS;2018;3949;188
Région;Appartement standing;APS;2019;4022;192
Région;Appartement standing;APS;2020;3943;188
Région;Appartement standing;APS;2021;4067;194
Région;Appartement standing;APS;2022;4229;202
Région;Appartement standing;GT;2001;2881;100
Région;Appartement standing;GT;2002;3121;108
Région;Appartement standing;GT;2003;3245;112
Région;Appartement standing;GT;2004;3437;119
Région;Appartement standing;GT;2005;3661;128
Région;Appartement standing;GT;2006;3958;138
Région;Appartement standing;GT;2007;4177;145
Région;Appartement standing;GT;2008;4379;152
Région;Appartement standing;GT;2009;4599;160
Région;Appartement standing;GT;2010;4715;164
Région;Appartement standing;GT;2011;4789;167
Région;Appartement standing;GT;2012;4624;161
Région;Appartement standing;GT;2013;4563;160
Région;Appartement standing;GT;2014;4620;162
Région;Appartement standing;GT;2015;4616;164
Région;Appartement standing;GT;2016;4647;165
Région;Appartement standing;GT;2017;4661;165
Région;Appartement standing;GT;2018;4796;170
Région;Appartement standing;GT;2019;4876;173
Région;Appartement standing;GT;2020;4825;171
Région;Appartement standing;GT;2021;4943;175
Région;Appartement standing;GT;2022;5081;180
Région;Appartement standing;MT;2001;2162;100
Région;Appartement standing;MT;2002;2370;109
Région;Appartement standing;MT;2003;2534;117
Région;Appartement standing;MT;2004;2704;125
Région;Appartement standing;MT;2005;2802;132
Région;Appartement standing;MT;2006;2908;137
Région;Appartement standing;MT;2007;3091;145
Région;Appartement standing;MT;2008;3234;152
Région;Appartement standing;MT;2009;3396;159
Région;Appartement standing;MT;2010;3720;174
Région;Appartement standing;MT;2011;3883;181
Région;Appartement standing;MT;2012;3800;178
Région;Appartement standing;MT;2013;3824;180
Région;Appartement standing;MT;2014;3941;185
Région;Appartement standing;MT;2015;3985;191
Région;Appartement standing;MT;2016;4049;194
Région;Appartement standing;MT;2017;4075;196
Région;Appartement standing;MT;2018;4137;199
Région;Appartement standing;MT;2019;4204;202
Région;Appartement standing;MT;2020;4103;198
Région;Appartement standing;MT;2021;4239;204
Région;Appartement standing;MT;2022;4420;213
Région;Appartement standing;PT;2001;1675;100
Région;Appartement standing;PT;2002;1732;104
Région;Appartement standing;PT;2003;1802;108
Région;Appartement standing;PT;2004;1864;111
Région;Appartement standing;PT;2005;1911;116
Région;Appartement standing;PT;2006;1972;120
Région;Appartement standing;PT;2007;2025;124
Région;Appartement standing;PT;2008;2145;131
Région;Appartement standing;PT;2009;2320;141
Région;Appartement standing;PT;2010;2418;147
Région;Appartement standing;PT;2011;2478;151
Région;Appartement standing;PT;2012;2453;150
Région;Appartement standing;PT;2013;2516;154
Région;Appartement standing;PT;2014;2593;158
Région;Appartement standing;PT;2015;2628;164
Région;Appartement standing;PT;2016;2694;168
Région;Appartement standing;PT;2017;2733;171
Région;Appartement standing;PT;2018;2808;176
Région;Appartement standing;PT;2019;2886;180
Région;Appartement standing;PT;2020;2836;177
Région;Appartement standing;PT;2021;2926;183
Région;Appartement standing;PT;2022;3063;192
Région;Appartement économique;APE;2001;1298;100
Région;Appartement économique;APE;2002;1369;106
Région;Appartement économique;APE;2003;1422;110
Région;Appartement économique;APE;2004;1493;115
Région;Appartement économique;APE;2005;1522;121
Région;Appartement économique;APE;2006;1577;125
Région;Appartement économique;APE;2007;1647;131
Région;Appartement économique;APE;2008;1713;136
Région;Appartement économique;APE;2009;1781;141
Région;Appartement économique;APE;2010;1920;152
Région;Appartement économique;APE;2011;2017;160
Région;Appartement économique;APE;2012;2097;166
Région;Appartement économique;APE;2013;2133;170
Région;Appartement économique;APE;2014;2186;174
Région;Appartement économique;APE;2015;2109;179
Région;Appartement économique;APE;2016;2131;181
Région;Appartement économique;APE;2017;2148;182
Région;Appartement économique;APE;2018;2183;186
Région;Appartement économique;APE;2019;2239;191
Région;Appartement économique;APE;2020;2216;189
Région;Appartement économique;APE;2021;2281;195
Région;Appartement économique;APE;2022;2374;203
Région;Appartement économique;GT;2001;1744;100
Région;Appartement économique;GT;2002;1798;103
Région;Appartement économique;GT;2003;1863;107
Région;Appartement économique;GT;2004;1924;110
Région;Appartement économique;GT;2005;1945;114
Région;Appartement économique;GT;2006;2019;118
Région;Appartement économique;GT;2007;2092;122
Région;Appartement économique;GT;2008;2148;126
Région;Appartement économique;GT;2009;2215;130
Région;Appartement économique;GT;2010;2348;137
Région;Appartement économique;GT;2011;2421;142
Région;Appartement économique;GT;2012;2526;148
Région;Appartement économique;GT;2013;2533;148
Région;Appartement économique;GT;2014;2544;149
Région;Appartement économique;GT;2015;2529;152
Région;Appartement économique;GT;2016;2559;154
Région;Appartement économique;GT;2017;2579;155
Région;Appartement économique;GT;2018;2625;158
Région;Appartement économique;GT;2019;2689;162
Région;Appartement économique;GT;2020;2671;161
Région;Appartement économique;GT;2021;2730;165
Région;Appartement économique;GT;2022;2800;169
Région;Appartement économique;MT;2001;1237;100
Région;Appartement économique;MT;2002;1326;107
Région;Appartement économique;MT;2003;1372;111
Région;Appartement économique;MT;2004;1445;116
Région;Appartement économique;MT;2005;1478;122
Région;Appartement économique;MT;2006;1536;126
Région;Appartement économique;MT;2007;1612;133
Région;Appartement économique;MT;2008;1689;139
Région;Appartement économique;MT;2009;1769;145
Région;Appartement économique;MT;2010;1924;158
Région;Appartement économique;MT;2011;2038;167
Région;Appartement économique;MT;2012;2130;175
Région;Appartement économique;MT;2013;2183;179
Région;Appartement économique;MT;2014;2259;185
Région;Appartement économique;MT;2015;2253;190
Région;Appartement économique;MT;2016;2280;192
Région;Appartement économique;MT;2017;2297;194
Région;Appartement économique;MT;2018;2323;196
Région;Appartement économique;MT;2019;2376;201
