Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Benslimane;Maison sur lot économique;MT;2010;1654;156
Benslimane;Maison sur lot économique;MT;2011;1728;163
Benslimane;Maison sur lot économique;MT;2012;1790;169
Benslimane;Maison sur lot économique;MT;2013;1812;171
Benslimane;Maison sur lot économique;MT;2014;1838;174
Benslimane;Maison sur lot économique;MT;2015;1884;178
Benslimane;Maison sur lot économique;MT;2016;1891;179
Benslimane;Maison sur lot économique;MT;2017;1918;181
Benslimane;Maison sur lot économique;MT;2018;1955;185
Benslimane;Maison sur lot économique;MT;2019;1966;186
Benslimane;Maison sur lot économique;MT;2020;1988;188
Benslimane;Maison sur lot économique;MT;2021;2027;192
Benslimane;Maison sur lot économique;MT;2022;2117;200
Benslimane;Maison sur lot économique;PT;2001;920;100
Benslimane;Maison sur lot économique;PT;2002;934;101
Benslimane;Maison sur lot économique;PT;2003;975;106
Benslimane;Maison sur lot économique;PT;2004;1018;111
Benslimane;Maison sur lot économique;PT;2005;1063;115
Benslimane;Maison sur lot économique;PT;2006;1088;118
Benslimane;Maison sur lot économique;PT;2007;1089;118
Benslimane;Maison sur lot économique;PT;2008;1120;122
Benslimane;Maison sur lot économique;PT;2009;1147;125
Benslimane;Maison sur lot économique;PT;2010;1192;129
Benslimane;Maison sur lot économique;PT;2011;1234;134
Benslimane;Maison sur lot économique;PT;2012;1264;137
Benslimane;Maison sur lot économique;PT;2013;1303;142
Benslimane;Maison sur lot économique;PT;2014;1321;144
Benslimane;Maison sur lot économique;PT;2015;1347;146
Benslimane;Maison sur lot économique;PT;2016;1367;148
Benslimane;Maison sur lot économique;PT;2017;1397;152
Benslimane;Maison sur lot économique;PT;2018;1453;158
Benslimane;Maison sur lot économique;PT;2019;1462;159
Benslimane;Maison sur lot économique;PT;2020;1413;153
Benslimane;Maison sur lot économique;PT;2021;1450;158
Benslimane;Maison sur lot économique;PT;2022;1528;166
Benslimane;Total ville;MLE;2001;1172;100
Benslimane;Total ville;MLE;2002;1215;104
Benslimane;Total ville;MLE;2003;1264;108
Benslimane;Total ville;MLE;2004;1322;113
Benslimane;Total ville;MLE;2005;1388;118
Benslimane;Total ville;MLE;2006;1444;123
Benslimane;Total ville;MLE;2007;1500;127
Benslimane;Total ville;MLE;2008;1574;133
Benslimane;Total ville;MLE;2009;1667;141
Benslimane;Total ville;MLE;2010;1736;147
Benslimane;Total ville;MLE;2011;1803;153
Benslimane;Total ville;MLE;2012;1855;157
Benslimane;Total ville;MLE;2013;1904;161
Benslimane;Total ville;MLE;2014;1935;164
Benslimane;Total ville;MLE;2015;2030;166
Benslimane;Total ville;MLE;2016;2049;168
