Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Berkane;Appartement économique;MT;2012;1496;143
Berkane;Appartement économique;MT;2013;1517;145
Berkane;Appartement économique;MT;2014;1527;146
Berkane;Appartement économique;MT;2015;1573;151
Berkane;Appartement économique;MT;2016;1592;153
Berkane;Appartement économique;MT;2017;1671;160
Berkane;Appartement économique;MT;2018;1691;162
Berkane;Appartement économique;MT;2019;1695;162
Berkane;Appartement économique;MT;2020;1669;160
Berkane;Appartement économique;MT;2021;1699;163
Berkane;Appartement économique;MT;2022;1755;168
Berkane;Appartement économique;PT;2001;819;100
Berkane;Appartement économique;PT;2002;838;102
Berkane;Appartement économique;PT;2003;837;102
Berkane;Appartement économique;PT;2004;843;103
Berkane;Appartement économique;PT;2005;881;108
Berkane;Appartement économique;PT;2006;888;108
Berkane;Appartement économique;PT;2007;923;113
Berkane;Appartement économique;PT;2008;962;117
Berkane;Appartement économique;PT;2009;1019;124
Berkane;Appartement économique;PT;2010;1073;131
Berkane;Appartement économique;PT;2011;1081;132
Berkane;Appartement économique;PT;2012;1102;135
Berkane;Appartement économique;PT;2013;1120;137
Berkane;Appartement économique;PT;2014;1128;138
Berkane;Appartement économique;PT;2015;1159;142
Berkane;Appartement économique;PT;2016;1193;146
Berkane;Appartement économique;PT;2017;1261;154
Berkane;Appartement économique;PT;2018;1283;157
Berkane;Appartement économique;PT;2019;1288;157
Berkane;Appartement économique;PT;2020;1273;155
Berkane;Appartement économique;PT;2021;1297;158
Berkane;Appartement économique;PT;2022;1351;165
Berkane;Maison sur lot économique;GT;2001;1250;100
Berkane;Maison sur lot économique;GT;2002;1297;104
Berkane;Maison sur lot économique;GT;2003;1321;106
Berkane;Maison sur lot économique;GT;2004;1357;109
Berkane;Maison sur lot économique;GT;2005;1411;113
Berkane;Maison sur lot économique;GT;2006;1449;116
Berkane;Maison sur lot économique;GT;2007;1517;121
Berkane;Maison sur lot économique;GT;2008;1583;127
Berkane;Maison sur lot économique;GT;2009;1625;130
Berkane;Maison sur lot économique;GT;2010;1662;133
