Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Khémisset;Appartement standing;PT;2015;1138;185
Khémisset;Appartement standing;PT;2016;1150;186
Khémisset;Appartement standing;PT;2017;1158;188
Khémisset;Appartement standing;PT;2018;1172;190
Khémisset;Appartement standing;PT;2019;1208;196
Khémisset;Appartement standing;PT;2020;1143;185
Khémisset;Appartement standing;PT;2021;1195;194
Khémisset;Appartement standing;PT;2022;1264;205
Khémisset;Appartement économique;APE;2001;229;100
Khémisset;Appartement économique;APE;2002;246;108
Khémisset;Appartement économique;APE;2003;259;113
Khémisset;Appartement économique;APE;2004;279;122
Khémisset;Appartement économique;APE;2005;299;131
Khémisset;Appartement économique;APE;2006;326;142
Khémisset;Appartement économique;APE;2007;344;150
Khémisset;Appartement économique;APE;2008;365;160
Khémisset;Appartement économique;APE;2009;391;171
Khémisset;Appartement économique;APE;2010;411;180
Khémisset;Appartement économique;APE;2011;427;186
Khémisset;Appartement économique;APE;2012;456;199
Khémisset;Appartement économique;APE;2013;485;211
Khémisset;Appartement économique;APE;2014;513;224
Khémisset;Appartement économique;APE;2015;542;237
Khémisset;Appartement économique;APE;2016;554;244
Khémisset;Appartement économique;APE;2017;555;244
Khémisset;Appartement économique;APE;2018;589;259
Khémisset;Appartement économique;APE;2019;603;265
Khémisset;Appartement économique;APE;2020;664;293
Khémisset;Appartement économique;APE;2021;683;301
Khémisset;Appartement économique;APE;2022;729;321
Khémisset;Appartement économique;GT;2001;273;100
Khémisset;Appartement économique;GT;2002;295;108
Khémisset;Appartement économique;GT;2003;316;115
Khémisset;Appartement économique;GT;2004;338;124
Khémisset;Appartement économique;GT;2005;361;132
Khémisset;Appartement économique;GT;2006;385;141
Khémisset;Appartement économique;GT;2007;410;150
Khémisset;Appartement économique;GT;2008;436;160
Khémisset;Appartement économique;GT;2009;463;170
Khémisset;Appartement économique;GT;2010;491;180
Khémisset;Appartement économique;GT;2011;520;190
Khémisset;Appartement économique;GT;2012;545;199
Khémisset;Appartement économique;GT;2013;596;218
Khémisset;Appartement économique;GT;2014;642;235
Khémisset;Appartement économique;GT;2015;683;250
Khémisset;Appartement économique;GT;2016;678;248
Khémisset;Appartement économique;GT;2017;682;249
Khémisset;Appartement économique;GT;2018;690;252
Khémisset;Appartement économique;GT;2019;696;255
Khémisset;Appartement économique;GT;2020;821;300
Khémisset;Appartement économique;GT;2021;849;311
Khémisset;Appartement économique;GT;2022;908;332
Khémisset;Appartement économique;MT;2001;241;100
Khémisset;Appartement économique;MT;2002;256;106
