Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Marrakech;Appartement standing;PT;2007;1507;125
Marrakech;Appartement standing;PT;2008;1596;132
Marrakech;Appartement standing;PT;2009;1732;143
Marrakech;Appartement standing;PT;2010;1807;150
Marrakech;Appartement standing;PT;2011;1845;153
Marrakech;Appartement standing;PT;2012;1823;151
Marrakech;Appartement standing;PT;2013;1854;153
Marrakech;Appartement standing;PT;2014;1892;157
Marrakech;Appartement standing;PT;2015;1954;162
Marrakech;Appartement standing;PT;2016;2023;167
Marrakech;Appartement standing;PT;2017;2041;169
Marrakech;Appartement standing;PT;2018;2098;174
Marrakech;Appartement standing;PT;2019;2163;179
Marrakech;Appartement standing;PT;2020;1996;165
Marrakech;Appartement standing;PT;2021;2034;168
Marrakech;Appartement standing;PT;2022;2082;172
Marrakech;Appartement économique;APE;2001;991;100
Marrakech;Appartement économique;APE;2002;1052;106
Marrakech;Appartement économique;APE;2003;1103;111
Marrakech;Appartement économique;APE;2004;1153;117
Marrakech;Appartement économique;APE;2005;1203;122
Marrakech;Appartement économique;APE;2006;1249;126
Marrakech;Appartement économique;APE;2007;1294;131
Marrakech;Appartement économique;APE;2008;1338;135
Marrakech;Appartement économique;APE;2009;1383;140
Marrakech;Appartement économique;APE;2010;1497;151
Marrakech;Appartement économique;APE;2011;1593;161
Marrakech;Appartement économique;APE;2012;1676;170
Marrakech;Appartement économique;APE;2013;1666;170
Marrakech;Appartement économique;APE;2014;1698;173
Marrakech;Appartement économique;APE;2015;1722;183
Marrakech;Appartement économique;APE;2016;1749;187
Marrakech;Appartement économique;APE;2017;1769;189
Marrakech;Appartement économique;APE;2018;1801;194
Marrakech;Appartement économique;APE;2019;1858;200
Marrakech;Appartement économique;APE;2020;1828;196
Marrakech;Appartement économique;APE;2021;1921;206
Marrakech;Appartement économique;APE;2022;2020;216
Marrakech;Appartement économique;GT;2001;1100;100
Marrakech;Appartement économique;GT;2002;1136;103
Marrakech;Appartement économique;GT;2003;1179;107
Marrakech;Appartement économique;GT;2004;1213;110
Marrakech;Appartement économique;GT;2005;1247;113
Marrakech;Appartement économique;GT;2006;1283;117
Marrakech;Appartement économique;GT;2007;1316;120
Marrakech;Appartement économique;GT;2008;1344;122
Marrakech;Appartement économique;GT;2009;1383;126
Marrakech;Appartement économique;GT;2010;1470;134
Marrakech;Appartement économique;GT;2011;1516;138
Marrakech;Appartement économique;GT;2012;1587;144
Marrakech;Appartement économique;GT;2013;1564;142
Marrakech;Appartement économique;GT;2014;1562;142
Marrakech;Appartement économique;GT;2015;1598;145
Marrakech;Appartement économique;GT;2016;1618;147
Marrakech;Appartement économique;GT;2017;1627;148
Marrakech;Appartement économique;GT;2018;1649;150
Marrakech;Appartement économique;GT;2019;1690;154
Marrakech;Appartement économique;GT;2020;1808;164
Marrakech;Appartement économique;GT;2021;1989;181
Marrakech;Appartement économique;GT;2022;2134;194
Marrakech;Appartement économique;MT;2001;1034;100
Marrakech;Appartement économique;MT;2002;1114;108
Marrakech;Appartement économique;MT;2003;1172;113
Marrakech;Appartement économique;MT;2004;1230;119
Marrakech;Appartement économique;MT;2005;1288;125
Marrakech;Appartement économique;MT;2006;1346;130
Marrakech;Appartement économique;MT;2007;1404;136
Marrakech;Appartement économique;MT;2008;1461;141
Marrakech;Appartement économique;MT;2009;1518;147
Marrakech;Appartement économique;MT;2010;1657;160
Marrakech;Appartement économique;MT;2011;1764;171
Marrakech;Appartement économique;MT;2012;1848;179
Marrakech;Appartement économique;MT;2013;1822;176
Marrakech;Appartement économique;MT;2014;1864;180
Marrakech;Appartement économique;MT;2015;1909;185
Marrakech;Appartement économique;MT;2016;1911;185
Marrakech;Appartement économique;MT;2017;1924;186
Marrakech;Appartement économique;MT;2018;1931;187
Marrakech;Appartement économique;MT;2019;1969;190
Marrakech;Appartement économique;MT;2020;1927;186
Marrakech;Appartement économique;MT;2021;1998;193
Marrakech;Appartement économique;MT;2022;2087;202
Marrakech;Appartement économique;PT;2001;681;100
Marrakech;Appartement économique;PT;2002;712;105
Marrakech;Appartement économique;PT;2003;759;111
Marrakech;Appartement économique;PT;2004;804;118
Marrakech;Appartement économique;PT;2005;854;125
Marrakech;Appartement économique;PT;2006;870;128
Marrakech;Appartement économique;PT;2007;894;131
Marrakech;Appartement économique;PT;2008;917;135
Marrakech;Appartement économique;PT;2009;934;137
Marrakech;Appartement économique;PT;2010;1001;147
Marrakech;Appartement économique;PT;2011;1134;167
Marrakech;Appartement économique;PT;2012;1240;182
Marrakech;Appartement économique;PT;2013;1300;191
Marrakech;Appartement économique;PT;2014;1349;198
Marrakech;Appartement économique;PT;2015;1408;207
Marrakech;Appartement économique;PT;2016;1496;220
Marrakech;Appartement économique;PT;2017;1536;226
Marrakech;Appartement économique;PT;2018;1628;239
Marrakech;Appartement économique;PT;2019;1740;256
Marrakech;Appartement économique;PT;2020;1631;240
Marrakech;Appartement économique;PT;2021;1708;251
Marrakech;Appartement économique;PT;2022;1796;264
Marrakech;Maison sur lot économique;GT;2001;926;100
Marrakech;Maison sur lot économique;GT;2002;962;104
Marrakech;Maison sur lot économique;GT;2003;1028;111
Marrakech;Maison sur lot économique;GT;2004;1076;116
Marrakech;Maison sur lot économique;GT;2005;1126;121
Marrakech;Maison sur lot économique;GT;2006;1155;125
Marrakech;Maison sur lot économique;GT;2007;1182;128
Marrakech;Maison sur lot économique;GT;2008;1226;132
Marrakech;Maison sur lot économique;GT;2009;1266;137
Marrakech;Maison sur lot économique;GT;2010;1360;147
Marrakech;Maison sur lot économique;GT;2011;1418;153
Marrakech;Maison sur lot économique;GT;2012;1467;158
Marrakech;Maison sur lot économique;GT;2013;1472;159
Marrakech;Maison sur lot économique;GT;2014;1461;158
Marrakech;Maison sur lot économique;GT;2015;1494;161
Marrakech;Maison sur lot économique;GT;2016;1503;162
Marrakech;Maison sur lot économique;GT;2017;1508;163
Marrakech;Maison sur lot économique;GT;2018;1543;167
Marrakech;Maison sur lot économique;GT;2019;1588;171
Marrakech;Maison sur lot économique;GT;2020;1649;178
Marrakech;Maison sur lot économique;GT;2021;1755;189
Marrakech;Maison sur lot économique;GT;2022;1842;199
Marrakech;Maison sur lot économique;MLE;2001;796;100
Marrakech;Maison sur lot économique;MLE;2002;826;104
Marrakech;Maison sur lot économique;MLE;2003;886;112
Marrakech;Maison sur lot économique;MLE;2004;950;120
Marrakech;Maison sur lot économique;MLE;2005;1008;128
Marrakech;Maison sur lot économique;MLE;2006;1050;133
Marrakech;Maison sur lot économique;MLE;2007;1087;138
Marrakech;Maison sur lot économique;MLE;2008;1150;146
Marrakech;Maison sur lot économique;MLE;2009;1211;154
Marrakech;Maison sur lot économique;MLE;2010;1278;163
Marrakech;Maison sur lot économique;MLE;2011;1357;174
Marrakech;Maison sur lot économique;MLE;2012;1434;185
Marrakech;Maison sur lot économique;MLE;2013;1457;188
Marrakech;Maison sur lot économique;MLE;2014;1501;195
Marrakech;Maison sur lot économique;MLE;2015;1545;210
Marrakech;Maison sur lot économique;MLE;2016;1576;216
Marrakech;Maison sur lot économique;MLE;2017;1602;221
Marrakech;Maison sur lot économique;MLE;2018;1657;229
Marrakech;Maison sur lot économique;MLE;2019;1723;240
Marrakech;Maison sur lot économique;MLE;2020;1707;238
Marrakech;Maison sur lot économique;MLE;2021;1744;242
Marrakech;Maison sur lot économique;MLE;2022;1784;248
Marrakech;Maison sur lot économique;MT;2001;834;100
Marrakech;Maison sur lot économique;MT;2002;860;103
Marrakech;Maison sur lot économique;MT;2003;920;110
