Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Biougra;Maison sur lot économique;GT;2015;965;293
Biougra;Maison sur lot économique;GT;2016;1009;306
Biougra;Maison sur lot économique;GT;2017;1040;315
Biougra;Maison sur lot économique;GT;2018;1080;327
Biougra;Maison sur lot économique;GT;2019;1116;338
Biougra;Maison sur lot économique;MLE;2001;286;100
Biougra;Maison sur lot économique;MLE;2002;311;109
Biougra;Maison sur lot économique;MLE;2003;347;121
Biougra;Maison sur lot économique;MLE;2004;385;135
Biougra;Maison sur lot économique;MLE;2005;429;150
Biougra;Maison sur lot économique;MLE;2006;477;166
Biougra;Maison sur lot économique;MLE;2007;513;179
Biougra;Maison sur lot économique;MLE;2008;549;192
Biougra;Maison sur lot économique;MLE;2009;594;207
Biougra;Maison sur lot économique;MLE;2010;646;225
Biougra;Maison sur lot économique;MLE;2011;652;227
Biougra;Maison sur lot économique;MLE;2012;703;244
Biougra;Maison sur lot économique;MLE;2013;740;256
Biougra;Maison sur lot économique;MLE;2014;772;267
Biougra;Maison sur lot économique;MLE;2015;768;278
Biougra;Maison sur lot économique;MLE;2016;793;287
Biougra;Maison sur lot économique;MLE;2017;815;295
Biougra;Maison sur lot économique;MLE;2018;847;306
Biougra;Maison sur lot économique;MLE;2019;860;310
Biougra;Maison sur lot économique;MT;2001;269;100
Biougra;Maison sur lot économique;MT;2002;294;110
Biougra;Maison sur lot économique;MT;2003;332;124
Biougra;Maison sur lot économique;MT;2004;365;136
Biougra;Maison sur lot économique;MT;2005;411;153
Biougra;Maison sur lot économique;MT;2006;460;171
Biougra;Maison sur lot économique;MT;2007;497;185
Biougra;Maison sur lot économique;MT;2008;529;197
Biougra;Maison sur lot économique;MT;2009;568;212
Biougra;Maison sur lot économique;MT;2010;614;229
Biougra;Maison sur lot économique;MT;2011;614;229
Biougra;Maison sur lot économique;MT;2012;678;252
Biougra;Maison sur lot économique;MT;2013;726;270
Biougra;Maison sur lot économique;MT;2014;778;290
Biougra;Maison sur lot économique;MT;2015;821;306
Biougra;Maison sur lot économique;MT;2016;855;318
Biougra;Maison sur lot économique;MT;2017;883;329
Biougra;Maison sur lot économique;MT;2018;919;342
Biougra;Maison sur lot économique;MT;2019;938;349
Biougra;Maison sur lot économique;PT;2001;244;100
Biougra;Maison sur lot économique;PT;2002;262;107
Biougra;Maison sur lot économique;PT;2003;288;118
Biougra;Maison sur lot économique;PT;2004;324;133
Biougra;Maison sur lot économique;PT;2005;357;146
Biougra;Maison sur lot économique;PT;2006;395;162
Biougra;Maison sur lot économique;PT;2007;424;174
Biougra;Maison sur lot économique;PT;2008;455;186
Biougra;Maison sur lot économique;PT;2009;481;197
Biougra;Maison sur lot économique;PT;2010;516;211
Biougra;Maison sur lot économique;PT;2011;518;212
Biougra;Maison sur lot économique;PT;2012;529;217
Biougra;Maison sur lot économique;PT;2013;534;219
Biougra;Maison sur lot économique;PT;2014;539;221
Biougra;Maison sur lot économique;PT;2015;550;225
Biougra;Maison sur lot économique;PT;2016;550;225
Biougra;Maison sur lot économique;PT;2017;556;228
Biougra;Maison sur lot économique;PT;2018;577;236
Biougra;Maison sur lot économique;PT;2019;565;231
Biougra;Total ville;MLE;2001;469;100
Biougra;Total ville;MLE;2002;488;105
Biougra;Total ville;MLE;2003;521;114
Biougra;Total ville;MLE;2004;556;123
Biougra;Total ville;MLE;2005;599;134
Biougra;Total ville;MLE;2006;642;145
Biougra;Total ville;MLE;2007;671;153
Biougra;Total ville;MLE;2008;708;162
Biougra;Total ville;MLE;2009;750;172
Biougra;Total ville;MLE;2010;806;186
Biougra;Total ville;MLE;2011;836;192
Biougra;Total ville;MLE;2012;872;201
Biougra;Total ville;MLE;2013;918;212
Biougra;Total ville;MLE;2014;958;221
Biougra;Total ville;MLE;2015;846;259
Biougra;Total ville;MLE;2016;874;267
Biougra;Total ville;MLE;2017;897;275
Biougra;Total ville;MLE;2018;930;285
Biougra;Total ville;MLE;2019;945;289
Biougra;Villa;GT;2001;2515;100
Biougra;Villa;GT;2002;2552;101
Biougra;Villa;GT;2003;2697;107
Biougra;Villa;GT;2004;2807;112
Biougra;Villa;GT;2005;2952;117
Biougra;Villa;GT;2006;3107;124
Biougra;Villa;GT;2007;3179;126
Biougra;Villa;GT;2008;3244;129
Biougra;Villa;GT;2009;3330;132
Biougra;Villa;GT;2010;3414;136
Biougra;Villa;GT;2011;3107;124
Biougra;Villa;GT;2012;3265;130
Biougra;Villa;GT;2013;3350;133
Biougra;Villa;GT;2014;3351;133
Biougra;Villa;GT;2015;3347;133
Biougra;Villa;GT;2016;3304;131
Biougra;Villa;GT;2017;3215;128
Biougra;Villa;GT;2018;3226;128
Biougra;Villa;GT;2019;3083;123
Biougra;Villa;MT;2001;1995;100
Biougra;Villa;MT;2002;2025;102
Biougra;Villa;MT;2003;2100;105
Biougra;Villa;MT;2004;2211;111
Biougra;Villa;MT;2005;2335;117
Biougra;Villa;MT;2006;2471;124
Biougra;Villa;MT;2007;2492;125
Biougra;Villa;MT;2008;2601;130
Biougra;Villa;MT;2009;2722;136
Biougra;Villa;MT;2010;2816;141
Biougra;Villa;MT;2011;2586;130
Biougra;Villa;MT;2012;2774;139
Biougra;Villa;MT;2013;2767;139
Biougra;Villa;MT;2014;2704;136
Biougra;Villa;MT;2015;2666;134
Biougra;Villa;MT;2016;2637;132
Biougra;Villa;MT;2017;2577;129
Biougra;Villa;MT;2018;2575;129
