Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Errachidia;Appartement standing;PT;2002;568;101
Errachidia;Appartement standing;PT;2003;569;101
Errachidia;Appartement standing;PT;2004;571;102
Errachidia;Appartement standing;PT;2005;572;102
Errachidia;Appartement standing;PT;2006;574;102
Errachidia;Appartement standing;PT;2007;575;102
Errachidia;Appartement standing;PT;2008;576;103
Errachidia;Appartement standing;PT;2009;577;103
Errachidia;Appartement standing;PT;2010;579;103
Errachidia;Appartement standing;PT;2011;580;103
Errachidia;Appartement standing;PT;2012;581;104
Errachidia;Appartement standing;PT;2013;594;106
Errachidia;Appartement standing;PT;2014;613;109
Errachidia;Appartement standing;PT;2015;634;113
Errachidia;Appartement standing;PT;2016;647;115
Errachidia;Appartement standing;PT;2017;694;124
Errachidia;Appartement standing;PT;2018;720;128
Errachidia;Appartement standing;PT;2019;723;129
Errachidia;Appartement standing;PT;2020;695;124
Errachidia;Appartement standing;PT;2021;742;132
Errachidia;Appartement standing;PT;2022;768;137
Errachidia;Appartement économique;APE;2001;444;100
Errachidia;Appartement économique;APE;2002;452;102
Errachidia;Appartement économique;APE;2003;455;102
Errachidia;Appartement économique;APE;2004;457;103
Errachidia;Appartement économique;APE;2005;460;104
Errachidia;Appartement économique;APE;2006;463;104
Errachidia;Appartement économique;APE;2007;466;105
Errachidia;Appartement économique;APE;2008;469;106
Errachidia;Appartement économique;APE;2009;471;106
Errachidia;Appartement économique;APE;2010;474;107
Errachidia;Appartement économique;APE;2011;477;108
Errachidia;Appartement économique;APE;2012;480;108
Errachidia;Appartement économique;APE;2013;495;112
Errachidia;Appartement économique;APE;2014;510;116
Errachidia;Appartement économique;APE;2015;491;123
Errachidia;Appartement économique;APE;2016;510;128
Errachidia;Appartement économique;APE;2017;547;137
Errachidia;Appartement économique;APE;2018;582;146
Errachidia;Appartement économique;APE;2019;619;155
Errachidia;Appartement économique;APE;2020;598;150
Errachidia;Appartement économique;APE;2021;620;155
Errachidia;Appartement économique;APE;2022;632;158
Errachidia;Appartement économique;GT;2001;588;100
Errachidia;Appartement économique;GT;2002;593;101
Errachidia;Appartement économique;GT;2003;597;101
Errachidia;Appartement économique;GT;2004;600;102
Errachidia;Appartement économique;GT;2005;604;103
Errachidia;Appartement économique;GT;2006;608;103
Errachidia;Appartement économique;GT;2007;612;104
Errachidia;Appartement économique;GT;2008;616;105
Errachidia;Appartement économique;GT;2009;620;105
Errachidia;Appartement économique;GT;2010;624;106
Errachidia;Appartement économique;GT;2011;628;107
Errachidia;Appartement économique;GT;2012;632;107
Errachidia;Appartement économique;GT;2013;638;109
Errachidia;Appartement économique;GT;2014;645;110
